Category: All categories

Month,microsoft: (United States)
2004-01,97
2004-02,100
2004-03,90
2004-04,91
2004-05,96
2004-06,90
2004-07,91
2004-08,92
2004-09,94
2004-10,87
2004-11,86
2004-12,83
2005-01,95
2005-02,94
2005-03,87
2005-04,83
2005-05,82
2005-06,86
2005-07,86
2005-08,97
2005-09,88
2005-10,82
2005-11,83
2005-12,85
2006-01,88
2006-02,84
2006-03,84
2006-04,78
2006-05,76
2006-06,77
2006-07,71
2006-08,77
2006-09,79
2006-10,79
2006-11,81
2006-12,77
2007-01,83
2007-02,82
2007-03,80
2007-04,74
2007-05,72
2007-06,71
2007-07,69
2007-08,71
2007-09,73
2007-10,72
2007-11,71
2007-12,69
2008-01,73
2008-02,74
2008-03,68
2008-04,69
2008-05,68
2008-06,63
2008-07,64
2008-08,67
2008-09,70
2008-10,67
2008-11,64
2008-12,66
2009-01,71
2009-02,66
2009-03,67
2009-04,68
2009-05,61
2009-06,62
2009-07,60
2009-08,63
2009-09,67
2009-10,69
2009-11,67
2009-12,63
2010-01,67
2010-02,66
2010-03,65
2010-04,63
2010-05,60
2010-06,62
2010-07,51
2010-08,54
2010-09,57
2010-10,58
2010-11,56
2010-12,51
2011-01,56
2011-02,54
2011-03,53
2011-04,50
2011-05,50
2011-06,48
2011-07,43
2011-08,47
2011-09,49
2011-10,45
2011-11,45
2011-12,43
2012-01,45
2012-02,43
2012-03,42
2012-04,41
2012-05,41
2012-06,45
2012-07,38
2012-08,43
2012-09,44
2012-10,48
2012-11,48
2012-12,42
2013-01,44
2013-02,45
2013-03,41
2013-04,41
2013-05,39
2013-06,38
2013-07,37
2013-08,40
2013-09,45
2013-10,44
2013-11,45
2013-12,43
2014-01,41
2014-02,41
2014-03,40
2014-04,39
2014-05,38
2014-06,37
2014-07,37
2014-08,38
2014-09,43
2014-10,40
2014-11,41
2014-12,40
2015-01,40
2015-02,38
2015-03,38
2015-04,36
2015-05,35
2015-06,35
2015-07,36
2015-08,41
2015-09,41
2015-10,41
2015-11,39
2015-12,38
2016-01,32
2016-02,32
2016-03,32
2016-04,30
2016-05,28
2016-06,29
2016-07,27
2016-08,30
2016-09,32
2016-10,31
2016-11,31
2016-12,30
2017-01,30
2017-02,30
2017-03,31
2017-04,29
2017-05,29
2017-06,27
2017-07,27
2017-08,29
2017-09,30
2017-10,29
2017-11,31
2017-12,28
2018-01,30
2018-02,30
2018-03,29
2018-04,28
2018-05,28
2018-06,28
2018-07,28
2018-08,31
2018-09,31
